,data,open,high,low,close,Volume,name
173073,20160517,24700,25000,24300,24400,628123,LG디스플레이
173074,20160518,24500,25000,24300,24900,772539,LG디스플레이
173075,20160519,24900,25050,24300,24500,797303,LG디스플레이
173076,20160520,24700,25600,24650,25500,1864825,LG디스플레이
173077,20160523,25600,25750,25250,25450,654909,LG디스플레이
173078,20160524,25750,26000,25400,25600,827666,LG디스플레이
173079,20160525,25950,26100,25700,26100,1130701,LG디스플레이
173080,20160526,26000,26100,25500,25600,683459,LG디스플레이
173081,20160527,25450,25950,25400,25800,635835,LG디스플레이
173082,20160530,26100,26100,25550,25700,533459,LG디스플레이
173083,20160531,25600,25950,25400,25800,1218400,LG디스플레이
173084,20160601,26000,26200,25500,25500,870933,LG디스플레이
173085,20160602,25600,25650,25150,25300,833919,LG디스플레이
173086,20160603,25150,25350,24000,24150,2692962,LG디스플레이
173087,20160607,24200,24650,24150,24650,1561296,LG디스플레이
173088,20160608,24650,24700,24300,24600,935823,LG디스플레이
173089,20160609,24600,24600,23950,24050,1963553,LG디스플레이
173090,20160610,24000,24350,24000,24050,898721,LG디스플레이
173091,20160613,24000,24150,23750,24050,686228,LG디스플레이
173092,20160614,23750,24000,23550,23600,998248,LG디스플레이
173093,20160615,23750,24650,23700,24450,1508134,LG디스플레이
173094,20160616,24600,24650,24100,24100,640705,LG디스플레이
173095,20160617,24200,24500,24150,24200,648228,LG디스플레이
173096,20160620,24600,24950,24400,24850,843461,LG디스플레이
173097,20160621,24750,25150,24400,25150,1207417,LG디스플레이
173098,20160622,25200,25650,24950,25450,1062869,LG디스플레이
173099,20160623,25400,25450,25000,25300,594817,LG디스플레이
173100,20160624,25500,25500,23650,24600,2019693,LG디스플레이
173101,20160627,24150,24700,24150,24650,764378,LG디스플레이
173102,20160628,24350,25150,24350,25050,739726,LG디스플레이
173103,20160629,25400,25850,25200,25650,1116744,LG디스플레이
173104,20160630,26250,26700,26000,26400,2292908,LG디스플레이
173105,20160701,26500,26900,26150,26650,1422346,LG디스플레이
173106,20160704,26700,27350,26700,26800,1941750,LG디스플레이
173107,20160705,26800,27000,26300,26900,663647,LG디스플레이
173108,20160706,26850,27100,26600,26700,924287,LG디스플레이
173109,20160707,27050,27800,26950,27800,1964215,LG디스플레이
173110,20160708,27800,28900,27700,28850,2608159,LG디스플레이
173111,20160711,29050,29100,28200,28900,1424759,LG디스플레이
173112,20160712,28950,28950,28250,28550,933141,LG디스플레이
173113,20160713,28650,28900,28150,28150,1339483,LG디스플레이
173114,20160714,28400,28850,28350,28500,1208054,LG디스플레이
173115,20160715,28650,29150,28500,28900,1141992,LG디스플레이
173116,20160718,29000,29200,28500,28750,748189,LG디스플레이
173117,20160719,29200,29700,29100,29550,1866012,LG디스플레이
173118,20160720,29700,29850,29100,29700,1156886,LG디스플레이
173119,20160721,29750,30150,29550,29800,1389020,LG디스플레이
173120,20160722,30000,30100,29600,30100,1077856,LG디스플레이
173121,20160725,29950,30050,29100,29100,1026182,LG디스플레이
173122,20160726,29200,29500,28850,29250,999809,LG디스플레이
173123,20160727,29450,30500,29000,30450,1812251,LG디스플레이
173124,20160728,31000,31400,30050,30650,2366912,LG디스플레이
173125,20160729,30750,31400,30200,31000,1906243,LG디스플레이
173126,20160801,31450,31600,31000,31600,1310937,LG디스플레이
173127,20160802,30950,31100,30250,30550,1324020,LG디스플레이
173128,20160803,30200,31200,29950,30650,1241947,LG디스플레이
173129,20160804,30800,31350,30500,30850,702549,LG디스플레이
173130,20160805,31250,31350,30900,31100,924487,LG디스플레이
173131,20160808,31350,31350,30100,30350,1632293,LG디스플레이
173132,20160809,30250,31450,30050,31350,1057494,LG디스플레이
173133,20160810,31000,31300,30150,30250,1398287,LG디스플레이
173134,20160811,30400,30950,30350,30950,980889,LG디스플레이
173135,20160812,30800,31100,30300,30700,1041615,LG디스플레이
173136,20160816,31200,31200,30300,30450,1180940,LG디스플레이
173137,20160817,30450,30600,30250,30600,813690,LG디스플레이
173138,20160818,30650,31200,30550,30950,846322,LG디스플레이
173139,20160819,31300,32350,31300,32150,2495539,LG디스플레이
173140,20160822,32250,32350,31800,32150,890763,LG디스플레이
173141,20160823,32200,32250,31250,31500,1075533,LG디스플레이
173142,20160824,31500,31600,30950,31400,805340,LG디스플레이
173143,20160825,31400,31400,30350,30800,1286491,LG디스플레이
173144,20160826,30750,30750,30250,30500,950874,LG디스플레이
173145,20160829,30350,30750,30150,30500,651113,LG디스플레이
173146,20160830,30550,31200,30550,31200,855114,LG디스플레이
173147,20160831,30800,31000,29700,30050,1996339,LG디스플레이
173148,20160901,30000,30000,29450,29650,1085488,LG디스플레이
173149,20160902,29650,29900,28700,29750,1587592,LG디스플레이
173150,20160905,29950,30950,29950,30850,1077754,LG디스플레이
173151,20160906,31000,31350,30650,30800,670851,LG디스플레이
173152,20160907,30700,30950,30500,30700,809968,LG디스플레이
173153,20160908,30650,30650,29200,29200,1864611,LG디스플레이
173154,20160909,29000,29550,28400,29350,1759529,LG디스플레이
173155,20160912,28800,29300,28300,28400,1690017,LG디스플레이
173156,20160913,28650,29000,27700,27900,1617892,LG디스플레이
173157,20160919,28200,28900,28200,28450,1095412,LG디스플레이
173158,20160920,28500,28650,27900,28300,990702,LG디스플레이
173159,20160921,28850,29450,28800,29250,1400910,LG디스플레이
173160,20160922,29150,29600,29100,29200,953251,LG디스플레이
173161,20160923,29750,29750,28900,29150,777579,LG디스플레이
173162,20160926,29000,29000,28450,28600,658306,LG디스플레이
173163,20160927,28500,29000,28250,28950,882695,LG디스플레이
173164,20160928,28900,29100,28400,28500,894973,LG디스플레이
173165,20160929,28750,29200,28350,28450,762397,LG디스플레이
173166,20160930,28250,28350,27850,28100,812372,LG디스플레이
173167,20161004,28400,28700,27850,28000,822937,LG디스플레이
173168,20161005,27850,28900,27750,28650,1069874,LG디스플레이
173169,20161006,29100,29200,28200,28400,1518454,LG디스플레이
173170,20161007,28350,29800,28250,29650,2062704,LG디스플레이
173171,20161010,29850,30150,29450,29950,1213585,LG디스플레이
173172,20161011,30200,30200,29400,29550,951274,LG디스플레이
173173,20161012,29600,30150,29200,29350,920315,LG디스플레이
173174,20161013,29300,29900,29250,29300,900308,LG디스플레이
173175,20161014,29350,30000,29300,29950,827528,LG디스플레이
173176,20161017,30000,30100,29400,29600,559055,LG디스플레이
173177,20161018,29250,29450,28650,28800,1199558,LG디스플레이
173178,20161019,29000,29250,28650,28700,760667,LG디스플레이
173179,20161020,28750,29350,28750,29100,543304,LG디스플레이
173180,20161021,29100,29150,28500,28500,918414,LG디스플레이
173181,20161024,28500,29350,28350,29350,715499,LG디스플레이
173182,20161025,29250,29900,28900,29800,1075783,LG디스플레이
173183,20161026,29700,29950,29300,29950,1137933,LG디스플레이
173184,20161027,30000,30200,29550,29600,568216,LG디스플레이
173185,20161028,29450,29700,27950,28300,2194023,LG디스플레이
173186,20161031,28250,28550,27200,27300,2242667,LG디스플레이
173187,20161101,27400,28150,27350,27800,1065440,LG디스플레이
173188,20161102,27500,27850,27300,27550,693385,LG디스플레이
173189,20161103,27100,27700,27100,27500,786149,LG디스플레이
173190,20161104,27500,27550,26600,26800,1271273,LG디스플레이
173191,20161107,27000,27100,26450,26600,1063461,LG디스플레이
173192,20161108,27000,27600,26850,27450,1191056,LG디스플레이
173193,20161109,27650,28000,25750,26200,2101154,LG디스플레이
173194,20161110,26800,27600,26700,27200,1294119,LG디스플레이
173195,20161111,26800,27350,26200,26900,1165346,LG디스플레이
173196,20161114,27150,27700,26900,26950,847445,LG디스플레이
173197,20161115,27400,27500,26500,26500,778751,LG디스플레이
173198,20161116,27100,28150,27100,27550,1994428,LG디스플레이
173199,20161117,27800,28500,27800,27800,1743781,LG디스플레이
173200,20161118,28000,28700,27950,28500,1123429,LG디스플레이
173201,20161121,28550,28550,27800,27900,503906,LG디스플레이
173202,20161122,27950,28500,27900,28250,976681,LG디스플레이
173203,20161123,28400,29250,28300,28750,1151516,LG디스플레이
173204,20161124,28750,29150,28050,28500,617890,LG디스플레이
173205,20161125,28800,28900,28350,28400,565468,LG디스플레이
173206,20161128,28450,29000,28050,28500,802813,LG디스플레이
173207,20161129,28200,28800,28100,28150,763089,LG디스플레이
173208,20161130,28300,28450,27600,28000,1349945,LG디스플레이
173209,20161201,28000,28750,27700,28400,898036,LG디스플레이
173210,20161202,28100,28250,27300,27900,806491,LG디스플레이
173211,20161205,27500,28000,27450,27800,446118,LG디스플레이
173212,20161206,28300,29250,28000,29100,1349604,LG디스플레이
173213,20161207,29600,30150,29550,29850,1645348,LG디스플레이
173214,20161208,30300,30750,30000,30300,1235539,LG디스플레이
173215,20161209,30300,30500,30000,30350,872415,LG디스플레이
173216,20161212,30400,30700,29350,29550,1378479,LG디스플레이
173217,20161213,29750,30500,29550,30350,1899764,LG디스플레이
173218,20161214,31100,31300,30100,30300,1647302,LG디스플레이
173219,20161215,30400,31200,30250,30950,1631993,LG디스플레이
173220,20161216,30800,31600,30650,30900,1471576,LG디스플레이
173221,20161219,31200,31250,30350,30500,968437,LG디스플레이
173222,20161220,30550,30700,30250,30550,721049,LG디스플레이
173223,20161221,30750,31900,30700,31500,1753323,LG디스플레이
173224,20161222,31900,32400,31350,31400,1740187,LG디스플레이
173225,20161223,31600,31700,30850,31300,1172126,LG디스플레이
173226,20161226,31500,32000,31300,32000,1082666,LG디스플레이
173227,20161227,32000,32100,31200,31400,1077924,LG디스플레이
173228,20161228,31350,31850,31050,31800,1169912,LG디스플레이
173229,20161229,31450,31600,31050,31450,846351,LG디스플레이
173230,20170102,31200,31300,30750,31150,1158495,LG디스플레이
173231,20170103,31300,31900,31250,31750,1350385,LG디스플레이
173232,20170104,31950,32250,31100,31450,1297451,LG디스플레이
173233,20170105,31550,31700,31100,31500,1051313,LG디스플레이
173234,20170106,31750,31950,31550,31650,917903,LG디스플레이
173235,20170109,31800,32250,31700,32100,1667226,LG디스플레이
173236,20170110,32200,32350,31450,31600,1374769,LG디스플레이
173237,20170111,31800,32300,31500,32100,1874837,LG디스플레이
173238,20170112,32500,32600,32000,32000,1479473,LG디스플레이
173239,20170113,31800,32000,31500,31950,1091083,LG디스플레이
